country_code_2,fiscal_year,gdp_amount
dj,2015,1.743
dm,2015,0.538
do,2015,66.575
ec,2015,98.925
eg,2015,0
sv,2015,25.652
gq,2015,10.025
er,2015,4.256
ee,2015,22.934
et,2015,63.022
fj,2015,4.526
fi,2015,230.685
fr,2015,"2,422.65"
ga,2015,13.8
gm,2015,0
ge,2015,13.753
de,2015,"3,371.00"
gh,2015,37.679
gr,2015,192.98
gd,2015,0.957
gt,2015,63.218
gn,2015,6.733
gw,2015,1.035
gy,2015,3.203
ht,2015,8.797
hn,2015,19.941
hk,2015,307.79
hu,2015,118.49
is,2015,16.738
in,2015,"2,182.58"
id,2015,872.615
ir,2015,0
ie  ,2015,227.498
il,2015,298.866
it,2015,"1,819.05"
jm,2015,13.823
jp,2015,"4,116.24"
jo,2015,38.21
kz,2015,195.005
ke,2015,63.121
ki,2015,0.164
kr,2015,"1,392.95"
kw,2015,123.228
kg,2015,7.158
la,2015,0
lv,2015,27.822
lb,2015,54.395
ls,2015,2.035
lr,2015,2.015
ly,2015,29.721
lt,2015,41.776
lu,2015,57.929
mk,2015,0
mg,2015,9.514
mw,2015,6.388
my,2015,313.479
mv,2015,3.031
ml,2015,10.954
mt,2015,9.19
mr,2015,4.677
mu,2015,11.567
mx,2015,"1,161.48"
md,2015,6.188
mn,2015,12.409
ma,2015,103.075
mz,2015,16.985
mm,2015,65.775
na,2015,12.855
np,2015,21.356
nl,2015,750.782
nz,2015,170.59
ni,2015,12.321
ne,2015,7.119
ng,2015,492.986
no,2015,397.59
om,2015,60.179
pk,2015,270.961
pa,2015,47.473
pg,2015,17.995
py,2015,29.065
pe,2015,179.911
ph,2015,299.314
pl,2015,481.235
pt,2015,197.51
qa,2015,192.077
ro,2015,174.922
ru,2015,"1,235.86"
rw,2015,8.468
ws,2015,0.867
st,2015,0.326
sa,2015,632.073
sn,2015,13.988
rs,2015,36.555
sc,2015,1.375
sl,2015,4.266
sg,2015,293.959
sk,2015,86.198
si,2015,42.736
sb,2015,1.205
za,2015,317.285
es,2015,"1,221.39"
lk,2015,79.524
sd,2015,84.331
sr,2015,5.05
sz,2015,4.305
se,2015,483.724
ch,2015,676.979
sy,2015,0
tw,2015,518.816
tj,2015,8.045
tz,2015,46.192
th,2015,373.536
tl,2015,0
tg,2015,4.152
to,2015,0.443
tt,2015,27.668
tn,2015,44.272
tr,2015,722.219
tm,2015,44.362
ug,2015,24.943
ua,2015,90.138
ae,2015,339.085
gb,2015,"2,864.90"
us,2015,"17,968.20"
uy,2015,54.968
uz,2015,65.953
vu,2015,0.771
ve,2015,131.855
vn,2015,198.805
ye,2015,0
zm,2015,24.466
zw,2015,13.905
af,2016,0
al,2016,12.204
dz,2016,181.71
ao,2016,98.815
ag,2016,1.328
ar,2016,578.692
am,2016,10.672
au,2016,"1,253.00"
at,2016,386.227
az,2016,63.602
bs,2016,0
bh,2016,32.335
bd,2016,218.991
bb,2016,4.537
by,2016,66.37
be,2016,473.524
bz,2016,1.841
bj,2016,8.302
bt,2016,2.465
bo,2016,35.231
ba,2016,16.306
bw,2016,13.011
br,2016,"1,672.90"
bn,2016,11.853
bg,2016,48.594
bf,2016,12.239
bi,2016,3.247
kh,2016,19.198
cm,2016,30.79
ca,2016,"1,592.35"
cv,2016,0
cf,2016,1.84
td,2016,12.82
cl,2016,240.309
cn,2016,"12,253.98"
co,2016,263.476
km,2016,0.625
cd,2016,0
cg,2016,0
cr,2016,54.977
ci,2016,34.284
hr,2016,50.04
cy,2016,19.894
cz,2016,189.982
dk,2016,300.906
dj,2016,1.93
dm,2016,0.559
do,2016,69.908
ec,2016,101.698
eg,2016,0
sv,2016,26.592
gq,2016,10.211
er,2016,4.809
ee,2016,24.224
et,2016,70.171
fJ,2016,4.747
fi,2016,237.111
fr,2016,"2,488.38"
ga,2016,14.24
gm,2016,0
ge,2016,14.27
de,2016,"3,472.51"
gh,2016,42.295
gr,2016,192.515
gd,2016,1.005
gt,2016,66.401
gn,2016,7.067
gw,2016,1.116
gy,2016,3.411
ht,2016,8.924
hn,2016,20.457
hk,2016,322.166
hu,2016,124.012
is,2016,17.775
in,2016,"2,384.73"
id,2016,875.75
ir,2016,0
ie,2016,240.454
il,2016,312.434
it,2016,"1,867.57"
jm,2016,14.128
jp,2016,"4,170.64"
jo,2016,40.891
kz,2016,173.199
ke,2016,68.866
ki,2016,0.166
kr,2016,"1,450.05"
kw,2016,128.538
kg,2016,7.659
la,2016,0
lv,2016,29.288
lb,2016,57.028
ls,2016,2.096
lr,2016,2.109
ly,2016,32.38
lt,2016,44.614
lu,2016,61.257
mk,2016,0
mg,2016,9.17
mw,2016,6.149
my,2016,350.992
mv,2016,3.228
ml,2016,11.882
mt,2016,9.721
mr,2016,4.794
mu,2016,12.145
mx,2016,"1,187.05"
md,2016,6.498
mn,2016,12.96
ma,2016,109.912
mz,2016,19.043
mm,2016,71.275
na,2016,13.703
np,2016,24.067
nl,2016,782.934
nz,2016,165.476
ni,2016,13.089
ne,2016,7.652
ng,2016,484.895
no,2016,394.776
om,2016,60.632
pk,2016,0
pa,2016,51.525
pg,2016,18.191
py,2016,30.094
pe,2016,180.375
ph,2016,330.232
pl,2016,508.857
pt,2016,204.186
qa,2016,192.214
ro,2016,183.37
ru,2016,"1,178.92"
rw,2016,9.228
ws,2016,0.9
st,2016,0.356
sa,2016,643.234
sn,2016,15.197
rs,2016,37.74
sc,2016,1.471
sl,2016,4.563
sg,2016,308.716
sk,2016,90.544
si,2016,44.015
sb,2016,1.289
za,2016,326.541
es,2016,"1,265.12"
lk,2016,86.302
sd,2016,85.222
sr,2016,5.187
sz,2016,4.357
se,2016,499.179
ch,2016,687.591
sy,2016,0
tw,2016,540.073
tj,2016,7.97
tz,2016,46.873
th,2016,393.019
tl,2016,0
tg,2016,4.499
to,2016,0.473
tt,2016,28.321
tn,2016,44.584
tr,2016,721.167
tm,2016,51.271
ug,2016,26.631
ua,2016,93.812
ae,2016,356.219
gb,2016,"3,054.84"
us,2016,"18,697.92"
uy,2016,57.151
uz,2016,68.699
vu,2016,0.832
ve,2016,133.534
vn,2016,214.75
ye,2016,0
zm,2016,25.158
zw,2016,14.292
af,2017,0
al,2017,13.214
dz,2017,192.256
ao,2017,105.369
ag,2017,1.386
ar,2017,589.585
am,2017,11.074
au,2017,"1,317.16"
at,2017,402.793
az,2017,70.927
bs,2017,0
bh,2017,34.318
bd,2017,238.723
bb,2017,4.652
by,2017,70.997
be,2017,492.062
bz,2017,1.931
bj,2017,9.061
bt,2017,2.748
bo,2017,38.204
ba,2017,17.356
bw,2017,13.843
